country	year	indigenous_cases	plasmodium_falciparum_cases	plasmodium_vivax_cases	mixed_cases	other_cases	imported_cases	introduced_cases
Angola	2010	1682870	NA	NA	NA	NA	NA	NA
Angola	2011	1632282	NA	NA	NA	NA	NA	NA
Angola	2012	1496834	NA	NA	NA	NA	NA	NA
Angola	2013	1999868	NA	NA	NA	NA	NA	NA
Angola	2014	2298979	NA	NA	NA	NA	NA	NA
Angola	2015	2769305	NA	NA	NA	NA	NA	NA
Angola	2016	3794253	NA	NA	NA	NA	NA	NA
Angola	2017	3874892	NA	NA	NA	NA	NA	NA
Angola	2018	5150575	NA	NA	NA	NA	NA	NA
Angola	2019	7054978	NA	NA	NA	NA	NA	NA
Angola	2020	6599327	NA	NA	NA	NA	NA	NA
Angola	2021	8325921	NA	NA	NA	NA	NA	NA
Congo	2010	NA	NA	NA	NA	NA	NA	NA
Congo	2011	37744	37744	NA	NA	NA	NA	NA
Congo	2012	120319	120319	NA	NA	NA	NA	NA
Congo	2013	43232	43232	NA	NA	NA	NA	NA
Congo	2014	66323	66323	NA	NA	NA	NA	NA
Congo	2015	51529	51529	NA	NA	NA	NA	NA
Congo	2016	171847	171847	NA	NA	NA	NA	NA
Congo	2017	127939	127939	NA	NA	NA	NA	NA
Congo	2018	116903	116903	NA	NA	NA	NA	NA
Congo	2019	117837	117837	NA	NA	NA	NA	NA
Congo	2020	91538	91538	NA	NA	NA	NA	NA
Congo	2021	189616	189616	NA	NA	NA	NA	NA
Ethiopia	2010	1196829	732776	390252	73801	NA	NA	NA
Ethiopia	2011	1480360	814547	665813	NA	NA	NA	NA
Ethiopia	2012	1692578	946595	745983	NA	NA	NA	NA
Ethiopia	2013	2645454	1687163	958291	NA	NA	NA	NA
Ethiopia	2014	2118815	1250110	868705	NA	NA	NA	NA
Ethiopia	2015	1867059	1188627	678432	NA	NA	NA	NA
Ethiopia	2016	1718504	1142235	576269	NA	NA	NA	NA
Ethiopia	2017	1530739	1059847	470892	NA	NA	NA	NA
Ethiopia	2018	962087	859675	102412	NA	NA	NA	NA
Ethiopia	2019	904495	738155	166340	NA	NA	NA	NA
Ethiopia	2020	1743755	1340869	263877	30051	108958	NA	NA
Ethiopia	2021	1396315	912075	252589	14380	90607	836	NA
Gambia	2010	116353	64108	NA	NA	NA	NA	NA
Gambia	2011	268020	190379	NA	NA	NA	NA	NA
Gambia	2012	313469	271038	NA	NA	NA	NA	NA
Gambia	2013	242513	240792	NA	NA	NA	NA	NA
Gambia	2014	168256	99976	NA	NA	NA	NA	NA
Gambia	2015	246348	240382	NA	NA	NA	NA	NA
Gambia	2016	162739	153685	NA	NA	NA	NA	NA
Gambia	2017	78040	69931	NA	NA	NA	NA	NA
Gambia	2018	87448	87448	NA	NA	NA	NA	NA
Gambia	2019	53386	53386	NA	NA	NA	NA	NA
Gambia	2020	75801	75801	NA	NA	NA	NA	NA
Gambia	2021	77287	77287	NA	NA	NA	NA	NA
Kenya	2010	898531	898531	NA	NA	NA	NA	NA
Kenya	2011	1002805	1002805	NA	NA	NA	NA	NA
Kenya	2012	1453471	1453471	NA	NA	NA	NA	NA
Kenya	2013	2375129	2335286	NA	NA	NA	NA	NA
Kenya	2014	2851555	2808931	NA	NA	NA	NA	NA
Kenya	2015	2041277	1499027	NA	NA	NA	NA	NA
Kenya	2016	3064796	2783846	NA	NA	NA	NA	NA
Kenya	2017	3607026	3215116	NA	NA	NA	NA	NA
Kenya	2018	2318090	1521566	NA	NA	NA	NA	NA
Kenya	2019	5019389	5019389	NA	NA	NA	NA	NA
Kenya	2020	3659170	3659170	NA	NA	NA	NA	NA
Kenya	2021	3828757	3828757	NA	NA	NA	NA	NA
Niger	2010	642774	601455	NA	17123	NA	NA	NA
Niger	2011	838585	757449	NA	21370	NA	NA	NA
Niger	2012	2329260	2185060	NA	22399	NA	NA	NA
Niger	2013	2373591	2306354	NA	46068	NA	NA	NA
Niger	2014	3963768	3828486	NA	78102	NA	NA	NA
Niger	2015	2392108	2267867	NA	NA	4133	NA	NA
Niger	2016	4258110	3961178	NA	NA	186989	NA	NA
Niger	2017	2761268	2638580	NA	NA	NA	NA	NA
Niger	2018	3046450	3046450	NA	NA	NA	NA	NA
Niger	2019	3771451	3748155	NA	NA	23296	NA	NA
Niger	2020	4377938	4154337	NA	NA	NA	NA	NA
Niger	2021	4044707	4044707	NA	NA	NA	NA	NA
Nigeria	2010	551187	523513	NA	NA	NA	NA	NA
Nigeria	2011	NA	NA	NA	NA	NA	NA	NA
Nigeria	2012	NA	NA	NA	NA	NA	NA	NA
Nigeria	2013	NA	NA	NA	NA	NA	NA	NA
Nigeria	2014	8572322	NA	NA	NA	NA	NA	NA
Nigeria	2015	8068583	NA	NA	NA	NA	NA	NA
Nigeria	2016	13598282	NA	NA	NA	NA	NA	NA
Nigeria	2017	13087878	1515920	NA	NA	NA	NA	NA
Nigeria	2018	14548024	13524751	NA	NA	NA	NA	NA
Nigeria	2019	19806915	920398	NA	NA	NA	NA	NA
Nigeria	2020	18325240	15251460	NA	NA	NA	NA	NA
Nigeria	2021	21325186	18765444	NA	NA	NA	NA	NA
Rwanda	2010	669322	638669	NA	NA	NA	NA	NA
Rwanda	2011	273293	208858	NA	NA	NA	NA	NA
Rwanda	2012	483470	483470	NA	NA	NA	NA	NA
Rwanda	2013	962618	962618	NA	NA	NA	NA	NA
Rwanda	2014	1623176	1623176	NA	NA	NA	NA	NA
Rwanda	2015	2505794	NA	NA	NA	NA	NA	NA
Rwanda	2016	3380568	NA	NA	NA	NA	NA	NA
Rwanda	2017	5940533	2927780	NA	NA	NA	NA	NA
Rwanda	2018	4231883	1657793	NA	NA	NA	NA	NA
Rwanda	2019	3612822	3612822	NA	NA	NA	NA	NA
Rwanda	2020	2043392	2043392	NA	NA	NA	NA	NA
Rwanda	2021	1163670	1163670	NA	NA	NA	NA	NA
Sao_Tome_and_Principe	2010	3146	2219	14	NA	NA	NA	NA
Sao_Tome_and_Principe	2011	8442	6363	4	NA	6	NA	NA
Sao_Tome_and_Principe	2012	12550	10700	1	NA	NA	NA	NA
Sao_Tome_and_Principe	2013	9243	9242	1	NA	NA	NA	NA
Sao_Tome_and_Principe	2014	1754	1754	NA	NA	NA	NA	NA
Sao_Tome_and_Principe	2015	2056	2055	NA	NA	1	2	NA
Sao_Tome_and_Principe	2016	2238	2238	NA	NA	NA	0	NA
Sao_Tome_and_Principe	2017	2239	2239	NA	NA	NA	2	NA
Sao_Tome_and_Principe	2018	2937	2937	NA	NA	NA	3	NA
Sao_Tome_and_Principe	2019	2732	2447	NA	NA	NA	10	NA
Sao_Tome_and_Principe	2020	1933	1933	NA	NA	NA	11	NA
Sao_Tome_and_Principe	2021	2719	2719	NA	NA	0	11	NA
Sierra_Leone	2010	934028	218473	NA	NA	NA	NA	NA
Sierra_Leone	2011	644018	30670	NA	NA	NA	NA	NA
Sierra_Leone	2012	1537322	1537322	NA	NA	NA	NA	NA
Sierra_Leone	2013	1701958	1701958	NA	NA	NA	NA	NA
Sierra_Leone	2014	1374476	1374476	NA	NA	NA	NA	NA
Sierra_Leone	2015	1483376	1483376	NA	NA	NA	NA	NA
Sierra_Leone	2016	1775306	1775306	NA	NA	NA	NA	NA
