WHO.region.Country.area		2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Angola	Indigenous cases	1,682,870	1,632,282	1,496,834	1,999,868	2,298,979	2,769,305	3,794,253	3,874,892	5,150,575	7,054,978	6,599,327	8,325,921
	Total P. falciparum												
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Congo	Indigenous cases		37,744	120,319	43,232	66,323	51,529	171,847	127,939	116,903	117,837	91,538	189,616
	Total P. falciparum		37,744	120,319	43,232	66,323	51,529	171,847	127,939	116,903	117,837	91,538	189,616
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Ethiopia	Indigenous cases	1,196,829	1,480,360	1,692,578	2,645,454	2,118,815	1,867,059	1,718,504	1,530,739	962,087	904,495	1,743,755	1396315**
	Total P. falciparum	732,776	814,547	946,595	1,687,163	1,250,110	1,188,627	1,142,235	1,059,847	859,675	738,155	1,340,869	912,075
	Total P. vivax	390,252	665,813	745,983	958,291	868,705	678,432	576,269	470,892	102,412	166,340	263,877	252,589
	Total mixed cases	73,801										30,051	14,380
	Total other cases											108,958	90,607
	Imported cases												836
Gambia	Indigenous cases	116,353	268,020	313,469	242,513	168,256	246,348	162,739	78,040	87,448	53,386	75,801	77,287
	Total P. falciparum	64,108	190,379	271,038	240,792	99,976	240,382	153,685	69,931	87,448	53,386	75,801	77,287
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Kenya	Indigenous cases	898,531	1,002,805	1,453,471	2,375,129	2,851,555	2,041,277	3,064,796	3,607,026	2,318,090	5,019,389	3,659,170	3,828,757
	Total P. falciparum	898,531	1,002,805	1,453,471	2,335,286	2,808,931	1,499,027	2,783,846	3,215,116	1,521,566	5,019,389	3,659,170	3,828,757
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Niger	Indigenous cases	642,774	838,585	2,329,260	2,373,591	3,963,768	2,392,108	4,258,110	2,761,268	3,046,450	3,771,451	4,377,938	4,044,707
	Total P. falciparum	601,455	757,449	2,185,060	2,306,354	3,828,486	2,267,867	3,961,178	2,638,580	3,046,450	3,748,155	4,154,337	4,044,707
	Total P. vivax												
	Total mixed cases	17,123	21,370	22,399	46,068	78,102							
	Total other cases						4,133	186,989			23,296		
Nigeria	Indigenous cases	551,187				8,572,322	8,068,583	13,598,282	13,087,878	14,548,024	19,806,915	18,325,240	21,325,186
	Total P. falciparum	523,513							1,515,920	13,524,751	920,398	15,251,460	18,765,444
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Rwanda	Indigenous cases	669,322	273,293	483,470	962,618	1,623,176	2,505,794	3,380,568	5,940,533	4,231,883	3,612,822	2,043,392	1,163,670
	Total P. falciparum	638,669	208,858	483,470	962,618	1,623,176			2,927,780	1,657,793	3,612,822	2,043,392	1,163,670
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Sao Tome and Principe	Indigenous cases	3,146	8,442	12,550	9,243	1,754	2056**	2,238	2239**	2937**	2732**	1933**	2719**
	Total P. falciparum	2,219	6,363	10,700	9,242	1,754	2,055	2,238	2,239	2,937	2,447	1,933	2,719
	Total P. vivax	14	4	1	1								
	Total mixed cases												
	Total other cases		6				1						0
	Imported cases						2	0	2	3	10	11	11
Sierra Leone	Indigenous cases	934,028	644,018	1,537,322	1,701,958	1,374,476	1,483,376	1,775,306	1,651,236	1,733,831	2,407,505	725,006	1,953,902
	Total P. falciparum	218,473	30,670	1,537,322	1,701,958	1,374,476	1,483,376	1,775,306	1,651,236	1,733,831	2,407,505	725,006	1,953,902
	Total P. vivax												
	Total mixed cases												
	Total other cases												
